pctf,target,horizon,model,mae,rmse,n_rows_pctf,n_train,n_test
MIRNOE,iesire_auto,3,HistGradientBoosting,2.0049711491321154,2.767432735053513,26304,20906.0,5227.0
VULCANESTI,iesire_auto,3,HistGradientBoosting,2.295749333729669,3.0241668709021714,26304,20906.0,5227.0
RADAUTI,iesire_auto,3,HistGradientBoosting,2.7358917859735197,3.8244586437611967,26304,20906.0,5227.0
CRIVA,iesire_auto,3,HistGradientBoosting,3.5468991576411675,4.835755366428547,26304,20906.0,5227.0
OTACI,iesire_auto,3,HistGradientBoosting,3.688165073637778,4.773545933986048,26304,20906.0,5227.0
COSTESTI,iesire_auto,3,HistGradientBoosting,4.339390658243131,5.599702001271312,26304,20906.0,5227.0
RENI,iesire_auto,3,HistGradientBoosting,4.69206008150487,5.952986781168627,26304,20906.0,5227.0
CAHUL,iesire_auto,3,HistGradientBoosting,5.736537697513585,7.491548214249734,26304,20906.0,5227.0
PALANCA,iesire_auto,3,HistGradientBoosting,6.485122525974929,8.689423841966509,26304,20906.0,5227.0
TUDORA,iesire_auto,3,RandomForest,6.95030194297922,9.613156069748527,26304,20906.0,5227.0
GIURGIULESTI,iesire_auto,3,HistGradientBoosting,7.898154530659621,10.206999644230583,26304,20906.0,5227.0
SCULENI,iesire_auto,3,HistGradientBoosting,11.752627535461455,16.167018062549438,26304,20906.0,5227.0
LEUSENI,iesire_auto,3,HistGradientBoosting,12.491389085286094,16.966320755229155,26304,20906.0,5227.0
MEDVEJA,intrare_auto,3,HistGradientBoosting,0.1228200916981148,0.25384455483892754,26304,20906.0,5227.0
CLOCUSNA,intrare_auto,3,HistGradientBoosting,0.2190335968825771,0.43889664384403254,26304,20906.0,5227.0
GRIMANCAUTI,intrare_auto,3,HistGradientBoosting,0.4028559870496415,0.6235942234648636,26304,20906.0,5227.0
SAITI,intrare_auto,3,HistGradientBoosting,0.43572998205698404,0.7269015726809764,26304,20906.0,5227.0
CISMICHIOI,intrare_auto,3,HistGradientBoosting,0.7265424271749491,1.1581774703680519,26304,20906.0,5227.0
LARGA,intrare_auto,3,HistGradientBoosting,0.922318472288214,1.7528987944887666,26304,20906.0,5227.0
OCNITA,intrare_auto,3,HistGradientBoosting,0.9948187030098329,1.599639120139346,26304,20906.0,5227.0
BASARABEASCA,intrare_auto,3,HistGradientBoosting,1.0465303100796246,1.674592492089053,26304,20906.0,5227.0
UNGURI,intrare_auto,3,HistGradientBoosting,1.437105185797252,2.1772174190899873,26304,20906.0,5227.0
BRICENI,intrare_auto,3,HistGradientBoosting,1.843024714799671,2.6419009925972343,26304,20906.0,5227.0
MIRNOE,intrare_auto,3,HistGradientBoosting,2.1017722373594347,2.9658170120914575,26304,20906.0,5227.0
VULCANESTI,intrare_auto,3,HistGradientBoosting,2.459843711939967,3.356685381370156,26304,20906.0,5227.0
RADAUTI,intrare_auto,3,HistGradientBoosting,2.6402177427495506,3.705789260237365,26304,20906.0,5227.0
RENI,intrare_auto,3,HistGradientBoosting,3.2562181487107074,4.3428220755551745,26304,20906.0,5227.0
OTACI,intrare_auto,3,HistGradientBoosting,3.8090193363690767,4.943416786732609,26304,20906.0,5227.0
CRIVA,intrare_auto,3,HistGradientBoosting,3.858234999780031,5.172311819767756,26304,20906.0,5227.0
COSTESTI,intrare_auto,3,HistGradientBoosting,4.421210062675082,5.796561131067325,26304,20906.0,5227.0
