pctf,target,horizon,model,mae,rmse,n_rows_pctf,n_train,n_test
CISMICHIOI,iesire_auto,24,Baseline_yesterday,1.1116438356164384,1.7577616526131352,26304,,
CISMICHIOI,iesire_auto,24,HistGradientBoosting,0.9067912444334357,1.333359895696244,26304,20889.0,5223.0
CISMICHIOI,iesire_auto,24,RandomForest,0.9318532826898871,1.3799977545047806,26304,20889.0,5223.0
CISMICHIOI,intrare_auto,1,Baseline_yesterday,0.8948630136986301,1.519645576719528,26304,,
CISMICHIOI,intrare_auto,1,HistGradientBoosting,0.7280102774636118,1.1567710921431862,26304,20908.0,5227.0
CISMICHIOI,intrare_auto,1,RandomForest,0.7741142047641401,1.2053749668791507,26304,20908.0,5227.0
CISMICHIOI,intrare_auto,3,Baseline_yesterday,0.8948630136986301,1.519645576719528,26304,,
CISMICHIOI,intrare_auto,3,HistGradientBoosting,0.7265424271749491,1.1581774703680519,26304,20906.0,5227.0
CISMICHIOI,intrare_auto,3,RandomForest,0.7722599667013857,1.2180429992602417,26304,20906.0,5227.0
CISMICHIOI,intrare_auto,24,Baseline_yesterday,0.8948630136986301,1.519645576719528,26304,,
CISMICHIOI,intrare_auto,24,HistGradientBoosting,0.7308689240243333,1.1641516461359995,26304,20889.0,5223.0
CISMICHIOI,intrare_auto,24,RandomForest,0.7727441738132814,1.2221643922664407,26304,20889.0,5223.0
CLOCUSNA,iesire_auto,1,Baseline_yesterday,0.2840943683409437,0.7962526388277672,26304,,
CLOCUSNA,iesire_auto,1,HistGradientBoosting,0.23917169212876851,0.4826558087050872,26304,20908.0,5227.0
CLOCUSNA,iesire_auto,1,RandomForest,0.25658902591635124,0.5537279489153255,26304,20908.0,5227.0
CLOCUSNA,iesire_auto,3,Baseline_yesterday,0.2840943683409437,0.7962526388277672,26304,,
CLOCUSNA,iesire_auto,3,HistGradientBoosting,0.2396496154424637,0.4865103150113049,26304,20906.0,5227.0
CLOCUSNA,iesire_auto,3,RandomForest,0.25210465619430206,0.5476255531282634,26304,20906.0,5227.0
CLOCUSNA,iesire_auto,24,Baseline_yesterday,0.2840943683409437,0.7962526388277672,26304,,
CLOCUSNA,iesire_auto,24,HistGradientBoosting,0.23931008415757873,0.4858734342489556,26304,20889.0,5223.0
CLOCUSNA,iesire_auto,24,RandomForest,0.2539837487172276,0.5521007285717454,26304,20889.0,5223.0
